!0-8|Clothing and Armor|8|Concealability|Ballistic|Impact|Weight|Availability|$Cost|Street Index|Book.Page|
1-Clothing and armor
2-Clothing and Riot Shields
3-* Ordinary Clothing              8|-|-|-|1|Always|50|.8|sr3.284|
3-* Fine Clothing                  8|-|-|-|1|Always|500|1|sr3.284|
3-* Tres Chic Clothing             8|-|-|-|1|Always|1000|1|sr3.284|
3-* Riot Shield, Small             8|-|1|2|2|8/14hrs|1500|2|sr3.284|
3-* Riot Shield, Large             8|-|2|3|2|8/14days|1500|2|sr3.284|
3-* Riot Shield, Ballistic         8|-|3|1|2|8/14days|1500|2|sr3.284|
3-* Riot Shield, Electro (large)   8|2|2|3|3|12/14days|2200|3|sta2.98|
2-Leather
3-* Heavy Leather Jacket           8|-|0|2|1|Always|750|.75|sr2.???|
3-* Heavy Leather Pants            8|-|0|2|1|Always|750|.75|sr2.???|
3-* Real Leather Jacket            8|-|0|2|1|Always|750|.75|sr3.284|
3-* Real Leather Pants             8|-|0|2|1|Always|750|.75|sr3.284|
3-* Synth Leather Jacket           8|-|0|1|1|Always|250|.6|sr3.284|
3-* Synth Leather Pants            8|-|0|1|1|Always|250|.6|sr3.284|
2-Armor clothing
3-* Arasaka Jetsetter Briefcase    8|-|3|3|4.5|4/36hrs|2000|1.2|sr2.???|
3-* Armor Clothing                 8|10|3|0|2|2/36hrs|500|1|sr3.284|
3-* Armor Jacket                   8|6|5|3|2|3/36hrs|900|.75|sr3.284|
3-* Armored Stockings              8|15|+1|0|-|6/72hrs|110|1.1|sr2.???|
3-* Armor Street Clothes Type 1    8|12|3|1|1.5|3/24hrs|500|.8|sr2.???|
3-* Armor Street Clothes Type 2    8|12|2|2|1.5|3/24hrs|500|.8|sr2.???|
3-* Armor Vest                     8|12|2|1|1|2/36hrs|200|.8|sr3.284|
3-* Armor Vest with Plates         8|10|4|3|2|3/36hrs|600|1|sr3.284|
3-* Forearm Guards                 8|12|-|1|.2|5/36hrs|250|.75|sr2.???|
3-* Kevlar Armor Jacket, Light     8|8|3|2|1|2/36hrs|600|.8|sr2.???|
3-* Kevlar Armor Jacket, Medium    8|6|4|3|1.5|3/36hrs|800|.8|sr2.???|
3-* Kevlar Armor Jacket, Heavy     8|5|5|4|2|3/36hrs|1000|.8|sr2.???|
3-* Kevlar T-Shirt/Vest            8|11|2|0|1|4/48hrs|220|2|sr2.???|
3-* Lined Coat                     8|8|4|2|1|2/24hrs|700|.75|sr3.284|
3-* Secure Clothing                8|12|3|0|1.5|3/36hrs|450|.9|sr3.284|
3-* Secure Jacket                  8|9|5|3|3|4/36hrs|850|.8|sr3.284|
3-* Secure Vest                    8|15|2|1|.75|3/36hrs|175|.9|sr3.284|
3-* Secure Ultra-Vest              8|14|3|2|2.5|3/36hrs|350|.9|sr3.284|
3-* Secure Long Coat               8|10|4|2|2|3/24hrs|650|.9|sr3.284|
2-Armant�
3-* Armant� "Ancien" Shawl         8|14|1|0|.3|2/48hrs|750|.75|cc.46|
3-* Armant� "Dallas" Shirt         8|14|.75|0|.3|2/48hrs|600|.75|cc.46|
3-* Armant� "Dallas" Jacket        8|14|2|2|.3|2/48hrs|1000|.75|cc.46|
3-* Armant� "Dallas" Short Jacket  8|14|1|.5|.3|2/48hrs|600|.75|cc.46|
3-* Armant� "Dallas" Slacks        8|14|.5|.25|.3|2/48hrs|400|.75|cc.46|
3-* Armant� "Dallas" Vest          8|14|3|1|.3|2/48hrs|250|.75|cc.46|
3-* Armant� "Executive Suite" Tux  8|12|3|1|1|4/48hrs|1100|.75|cc.46|
3-* Armant� "London Fog" Count     8|12|2|2|1|4/48hrs|600|.75|cc.46|
3-* Armant� "London Fog" Chairman  8|12|2|2|2|4/48hrs|5000|.75|cc.46|
3-* Armant� "London Fog" Majesty   8|11|2|2|2|4/48hrs|3000|.75|cc.46|
3-* Armant� "London Fog" Merlin    8|11|2|2|1|4/48hrs|1500|.75|cc.46|
3-* Armant� "London Fog" Profsnl   8|13|2|2|2|4/48hrs|1000|.75|cc.46|
3-* Armant� "Starlight" Dress      8|13|1|1|.75|2/48hrs|4500|.75|cc.46|
3-* Armant� "Tokyo" Business Suit  8|13|2|1|1|3/48hrs|1000|.75|cp.32|
3-* Armant� "Venetian" Dress       8|14|1|0|.5|2/48hrs|3500|.75|cc.46|
2-Eji of Japan
3-* Eji Armored Cloak              8|14|2|1|1.5|always|500|.75|cb1.37|
3-* Eji Designer's Jeans           8|-|0|0|1|always|50|.75|cb1.37|
3-* Eji Lamb's Wool Sweater        8|-|0|0|1|always|60|.75|cb1.37|
2-Gibson Battlegear
3-* Gibson Acid-washed Jeans       8|10|2|1|1|4/48hrs|300|1|cb1.37|
3-* Gibson Denim Jacket            8|9|2|1|1|4/48hrs|1500|1|cb1.37|
3-* Gibson T-Shirt                 8|10|1|0|.5|4/48hrs|100|1|cb1.37|
3-* Gibson Sneak Suit Helmet       8|-|+1|+0|1.5|10/5days|1185|2.5|cb1.37|
3-* Gibson Sneak Suit Diving Suit  8|+4|0|0|2|12/7days|35000|3.5|cb1.37|
3-* Gibson Sneak Suit Flak Vest    8|+2|2|1|1.5|8/5days|1375|2|cb1.37|
3-* Gibson Sneak Suit Sneak Suit   8|+4|1|0|1|8/5days|1560|3|cb1.37|
3-* Gibson Sneak Suit Space Suit   8|+4|1|1|10|14/7days|25000|4.5|cb1.37|
2-ICON America
3-* ICON Bomber Jacket             8|-|0|2|1.5|always|900|.9|cb1.37|
3-* ICON Boots                     8|-|0|0|1|always|450|.8|cb1.37|
3-* ICON Gun Belt                  8|-|0|0|.25|3/24hrs|180|.9|cb1.37|
3-* ICON "Gunfighter" Hat          8|-|0|0|.5|always|300|.8|cb1.37|
3-* ICON Half Boots                8|-|0|0|.75|always|300|.8|cb1.37|
3-* ICON Long Duster               8|-|0|1|1.5|always|1500|.8|cb1.37|
3-* ICON Long Skirt                8|-|0|0|1|always|600|.8|cb1.37|
3-* ICON Miniskirt                 8|-|0|0|.5|always|300|.8|cb1.37|
3-* ICON Pants                     8|-|0|0|1|always|750|.8|cb1.37|
3-* ICON Tunic                     8|-|0|1|1|always|660|.8|cb1.37|
2-Masetto Tech Clothing
3-* Masetto 'Alessio' Coveralls    8|-|-|-|-|always|200|1|sr2.???|
3-* Masetto 'Ciampolo' Gloves      8|-|-|-|-|always|40|1|sr2.???|
3-* Masetto 'Gianni' Helmet        8|-|-|+1|1|4/48hrs|3500|2|sr2.???|
3-* Masetto 'Guercio' Helmet       8|-|-|+1|1|3/48hrs|600|2|sr2.???|
3-* Masetto 'Lano' Coveralls       8|6|3|2|1|always|1600|1|sr2.???|
3-* Masetto 'Pinamonte' Boots      8|-|-|-|-|always|50|1|sr2.???|
2-Mortimer of London
3-* Mortimer "Greatcoat" Coat      8|11|4|2|3|6/48hrs|2000|.75|cc.48|
3-* Mortimer "Ulysses" Coat        8|10|4|2|4|6/48hrs|4000|.75|cc.48|
3-* Mortimer "Crimson Sky" Jacket  8|12|2|2|2|6/48hrs|1500|.75|cc.48|
3-* Mortimer "Summit" Coat         8|12|3|2|3|6/48hrs|2500|.75|cc.48|
2-Nu-Tek Wearman series
3-* Nu-Tek Wearment Jacket         8|-|0|0|1|3/48hrs|300|.9|cb1.37|
3-* Nu-Tek Wearman Skirt           8|-|0|0|.75|3/48hrs|200|.9|cb1.37|
2-Takanaka Exec Line
3-* Takanaka Exec Briefcase        8|-|0|0|1.5|5/72hrs|600|.8|cb1.37|
3-* Takanaka Exec Cape             8|-|0|0|1.5|6/72hrs|900|.9|cb1.37|
3-* Takanaka Exec Cologne          8|-|-|-|-|6/72hrs|150|.9|cb1.37|
3-* Takanaka Exec Cravat           8|-|0|0|.5|6/72hrs|100|.9|cb1.37|
3-* Takanaka Exec Armored Topcoat  8|10|4|1|2.5|8/72hrs|2000|.9|cb1.37|
3-* Takanaka Exec Jacket           8|-|0|0|1|6/72hrs|800|.9|cb1.37|
3-* Takanaka Exec Monogram Shirt   8|-|0|0|.75|7/72hrs|200|1.1|cb1.37|
3-* Takanaka Exec Opera Cloak      8|10|3|1|2.5|8/72hrs|1200|.9|cb1.37|
3-* Takanaka Exec Pants            8|-|0|0|1|6/72hrs|700|.9|cb1.37|
