!0-12|Cyberdeck Other|5|Availability|$Cost|Street Index|Legality|Book.Page|
1-Cyberdeck system additions
2-Off-line Storage
3-* Off-line Store 100 Mp          12|2/24hrs|550|1|Legal|sr3.304|
3-* Off-line Store 200 Mp          12|2/24hrs|1050|1|Legal|sr3.304|
3-* Off-line Store 300 Mp          12|2/24hrs|1550|1|Legal|sr3.304|
3-* Off-line Store 400 Mp          12|2/24hrs|2050|1|Legal|sr3.304|
3-* Off-line Store 500 Mp          12|2/24hrs|2550|1|Legal|sr3.304|
3-* Off-line Store 600 Mp          12|2/24hrs|3050|1|Legal|sr3.304|
3-* Off-line Store 700 Mp          12|2/24hrs|3550|1|Legal|sr3.304|
3-* Off-line Store 800 Mp          12|2/24hrs|4050|1|Legal|sr3.304|
3-* Off-line Store 900 Mp          12|2/24hrs|4550|1|Legal|sr3.304|
3-* Off-line Store 1000 Mp         12|2/24hrs|5050|1|Legal|sr3.304|
3-* Off-line Store 1100 Mp         12|2/24hrs|5550|1|Legal|sr3.304|
3-* Off-line Store 1200 Mp         12|2/24hrs|6050|1|Legal|sr3.304|
3-* Off-line Store 1300 Mp         12|2/24hrs|6550|1|Legal|sr3.304|
3-* Off-line Store 1400 Mp         12|2/24hrs|7050|1|Legal|sr3.304|
3-* Off-line Store 1500 Mp         12|2/24hrs|7550|1|Legal|sr3.304|
!  Make your own !!
2-Response increase
3-* CybDeck: Response Inc[1]       12|6/48hrs|25000|1|Legal|sr2.???|
3-* CybDeck: Response Inc[2]       12|8/72hrs|100000|2|Legal|sr2.???|
3-* CybDeck: Response Inc[3]       12|12/7days|250000|2|Legal|sr2.???|
2-Miscellaneous Components
3-* Battery Pack                   12|Always|25|1|Legal|mat.169|
3-* Chip Reader                    12|Always|200|0.75|Legal|mat.169|
3-* Disk Drive                     12|Always|200|1|Legal|mat.169|
3-* Display Screen                 12|2/24hrs|100|1|Legal|mat.169|
3-* Hitcher Jack                   12|2/48hrs|250|1|Legal|sr3.304|
3-* Keybord                        12|Always|50|0.5|Legal|mat.169|
3-* Micro-Camcorder                12|6/48hrs|2500|2|8P-U|mat.169|
3-* Microphone                     12|Always|50|0.5|Legal|mat.169|
3-* Passkey Reader (Blank)         12|2/24hrs|250|2|9P-V|mat.169|
3-* Power Cord                     12|4/48hrs|15|1|Legal|mat.169|
