!0-3|Firearms|10|Concealability|Ammunition|Mode|Damage|Weight|Availability|$Cost|Street Index|Accessories|Book.Page|
2-Firearms
3-Pistols
4-Hold out
5-* Barton Arms Bracer    (HOPist) 3|7|1|SS|6L|.3|12/7days|1300|3|None|sr2.???|||
5-* Barton Arms Gun Cane  (HOPist) 3|2/9|1|SS|6L|1|10/7days|500|2|None|sr2.???|||
5-* BudgetArms C13        (HOPist) 3|8|8(c)|SA|4L|.5|2/8hrs|150|.75|None|sr2.???|||
5-* Cavalier Scout        (HOPist) 3|9|7(c)|SA|4L|.25|10/72hrs|600|2|None|cc.16|||
5-* Ceska Diplomat        (HOPist) 3|8|6(cy)|SS|4L|.5|3/12hrs|250|1|None|sr2.???|||
5-* Colt Take-Down        (HOPist) 3|8|2(b)|SA|7M|.5|4/12hrs|150|.8|None|sr2.???|||
5-* Dai Lung Cybermag 15  (HOPist) 3|7|10(c)|SA|4L|.5|3/12hrs|100|.7|None|sr2.???|||
5-* Federated Arms X-22   (HOPist) 3|7|10(c)|SA|4L|.5|2/12hrs|300|.8|None|sr2.???|||
5-* Fich. Tiff. Needler   (HOPist) 3|8|4(c)|SA|5L|.5|7/48hrs|650|2|None|sr2.???|||
5-* H�mmerli Model 520    (HOPist) 3|4|6(c)|SA|6L|1.25|8/4days|1000|1|RC:(1)|sr2.???|||
5-* H&K P48               (HOPist) 3|8|6(c)|SA/BF|4L|.45|4/24hrs|300|1.5|None|sr2.???|||
5-* Morrissey Elan        (HOPist) 3|8|5(c)|SA|5L|.5|8/7days|500|2|None|cc.16|||
5-* N. Ind. Firing Knife  (HOPist) 3|6|5(cy)|SA|4L|.5|5/12hrs|250|1|None|sr2.???|||
5-* Nova Infranat. OneShot(HOPist) 3|9/14|1|SS|5M|.25|10/7days|80|1.5|None|tss.5|||
5-* Raecor Sting          (HOPist) 3|9|5(c)|SS|4M(f)|.25|10/7days|375|2|None|cc.16|||
5-* Star Model DWT        (HOPist) 3|7|6(c)|SA|5L|.5|3/18hrs|300|.8|None|sr2.???|||
5-* Streetline Special    (HOPist) 3|8|6(c)|SS|4L|.5|2/12hrs|100|.75|None|sr3.278|||
5-* Tiffani Needler       (HOPist) 3|8|4(c)|SA|5M(f)|.5|7/48hrs|650|2|None|cc.16|||
5-* Tiffani Self-Defender (HOPist) 3|8|4(c)|SS|4L|.5|2/12hrs|450|.75|None|cc.16|||
5-* Walther Palm Pistol   (HOPist) 3|9|2(b)|SS|4L|.25|3/12hrs|200|.75|None|sr3.278|||
4-Light
5-* Ares Hornet            (LPist) 3|8|7(cy)|DAR(SA)|7L|2|4/48hrs|250|.8|None|sr2.???|||
5-* Ares Light Fire 70     (LPist) 3|5|16(c)|SA|6L|.5|3/12hrs|475|.8|None|cc.18|||
5-* Ares Scorpion          (LPist) 3|8|7(cy)|DAR(SA)|7L|2.25|4/48hrs|275|1|Laser Sight|sr2.???|||
5-* Beretta Model 101T     (LPist) 3|5|12(c)|SA|6L|1|3/12hrs|350|.8|None|sr3.278|||
5-* Beretta Model 200ST    (LPist) 3|4|26(c)|SA/BF|6L|2|5/24hrs|750|1.5|BF = Complex Action, Detach. Stock(1RC)|cc.18|||
5-* Ceska vz/120           (LPist) 3|7|18(c)|SA|6L|1|3/12hrs|500|.8|None|cc.18|||
5-* Colt American L36      (LPist) 3|6|11(c)|SA|6L|1|3/12hrs|350|.8|None|sr3.278|||
5-* Colt Asp               (LPist) 3|5|6(cy)|SA|6L|1|3/12hrs|200|.5|None|cc.18|||
5-* Dai Lung Streetmaster  (LPist) 3|6|12(c)|SA|6L|1|3/12hrs|325|.8|None|sr2.???|||
5-* Derringer              (LPist) 3|12|2(m)|SA|6L|.5|8/7days|220|2|None|cb1.27|||
5-* Executive Action       (LPist) 3|6|24(c)|SA/BF|6L|1.5|14/7days|1150|3|None|cc.18|||
5-* Federated Arms X-9mm   (LPist) 3|5|12(c)|SA|6L|1|3/12hrs|450|.75|None|sr2.???|||
5-* Fichetti Security 500  (LPist) 3|7|12(c)|SA|6L|1|3/12hrs|400|.8|None|sr3.278|||
5-* Fichetti Security 500a (LPist) 3|6|25(c)|SA|6L|1.25|3/12hrs|550|.8|Detach. Stock(1RC)|sr3.278|||
5-* Glock 19 Mk.IV         (LPist) 3|5|17(c)|SA|6L|1|8/24hrs|750|2|Laser Sight, RC:(1)|sr2.???|||
5-* Glock 19 Mk.IV Smart   (LPist) 3|5|17(c)|SA|6L|1|8/24hrs|950|2|Smartlink, RC:(1)|sr2.???|||
5-* Glck 19 Mk.IV SmartII  (LPist) 3|5|17(c)|SA|6L|1|8/24hrs|1150|2|Smartlink-2, RC:(1)|sr2.???|||
5-* H&K Cavaet             (LPist) 3|5|9(c)|SA|6L|1.25|4/24hrs|500|1|None|sr2.???|||
5-* H&K P7S15              (LPist) 3|6|15(c)|SA|6L|1|4/24hrs|400|1|None|sr2.???|||
5-* H&K P11M8              (LPist) 3|8|8(c)|SA|6L|1|5/36hrs|600|1.25|None|sr2.???|||
5-* H&K P11M13             (LPist) 3|8|13(c)|SA|6L|1|5/36hrs|650|1.25|None|sr2.???|||
5-* Hammerli Model 610S    (HPist) 3|4|6(c)|SA|6L|2.5|8/24hrs|1300|2.5|LPist uses HPist ranges,Gas Vent I(1RC)|cc.18|||
5-* Mauser Ladyline        (LPist) 3|7|8(c)|SA|6L|.75|4/24hrs|350|1|None|sr2.???|||
5-* Militech Arms Avenger  (LPist) 3|6|10(c)|SA|6L|1|3/12hrs|325|.8|None|sr2.???|||
5-* Nostal. Ind. Gentleman (LPist) 3|7|8(c)|SS|6L|2.5|8/48hrs|250|2.5|None|tss.2|||
5-* Nostal. Ind. Southerner(LPist) 3|5|10(c)|SS|3M|3.5|9/50hrs|300|2.5|None|tss.2|||
5-* Nostal. Ind. Yankee    (LPist) 3|4|13(c)|SS|7M|4|8/48hrs|375|2.5|None|tss.2|||
5-* Powell Knife Pistol    (LPist) 3|8|1(b)|SS|6L/(STR)L|.5|5/48hrs|250|1|None|sr2.???|||
5-* Ruger P-8              (LPist) 3|8|10(c)|SA|7L|.75|4/24hrs|395|1|None|sr2.???|||
5-* SA Puzzler             (LPist) 3|6|12(c)|SA|6L|.75|9/1wk|900|2|None|cc.18|||
5-* Seco LD-120            (LPist) 3|5|12(c)|SA|6L|1|3/12hrs|400|.8|Laser Sight|cc.18|||
5-* S&W Model 6739         (LPist) 3|8|5(cy)|SS|6L|.75|3/36hrs|250|.9|None|sr2.???|||
5-* Taurus Multi-6         (LPist) 3|6|6(cy)|SA/SS|6L/7M|1|5/24hrs|500|.75|None|cc.18|||
5-* Thumper                (LPist) 3|6|10(c)|SA|5L Stun|1.25|3/12hrs|120|.75|None|cp.22|||
5-* Walther PB-120         (LPist) 3|8(6)|10(15)(c)|SA|6L|.75|6/36hrs|700|2|None|cc.18|||
4-Machine pistols
5-* Ares Assault Machine  (MaPist) 3|6|40(c)|SA/BF/FA|6L|2.75|8/36hrs|1000|2|Improved Gas Vent (2)|sr2.???|||
5-* Ares Black Widow      (MaPist) 3|6|21(c)|SA/BF|6L|1|14/7days|1500|3|Silencer, Smartlink-2|sr2.???|||
5-* Ares Crusader         (MaPist) 3|6|40(c)|SA/BF|6L|3.25|5/36hrs|950|2|Gas Vent II(2RC)|cc.18|||
5-* Beretta Model 200ST   (MaPist) 3|4|26(c)|SA/BF|6L|2|5/24hrs|750|1.5|RC:(1)|sr2.???|||
5-* BudgetArms Laser-Nine (MaPist) 3|5(4)|15(35)(c)|SA/BF/FA|6L|1.5|4/36hrs|675|1.2|Caseless, Laser Sight|cb1.30|||
5-* Ceska Black Scorpion  (MaPist) 3|5|35(c)|SA/BF|6L|3|5/36hrs|850|2|Fold. Stock(1RC)|sr3.278|||
5-* FAM 95                (MaPist) 3|2|40(c)|SA/BF/FA|8M|3|9/7 days|5000|3|-|fra.141|||
5-* Fich. Exec. Action    (MaPist) 3|6|24(c)|SA/BF|6L|1.5|14/7days|1150|3|None|sr2.???|||
5-* H&K VP80Z             (MaPist) 3|6|21(c)|SA/BF|6L|1.25|6/48hrs|1200|3|RC:(1)|sr2.???|||
5-* Micro Uzi III         (MaPist) 3|6|16(c)|BF|6L|1.5|6/36hrs|750|1|Laser Sight|sr2.???|||
5-* Ruger P-4             (MaPist) 3|4|100(c)|BF|7L|1.25|8/48hrs|1350|2.25|None|cp.22|||
5-* Seco Quickfire        (MaPist) 3|5|18(c)|SA/BF/FA|6L|1.5|5/24hrs|750|2|None|sr2.???|||
5-* Steyr TMP             (MaPist) 3|6|30(c)|SA/BF/FA|6L|2|8/48hrs|900|2|None|cc.18|||
4-Heavy pistols
5-* Altmayr SP             (HPist) 3|4|7(m)|SS|(Special)|3|4/48hrs|900|1.5|None|sr2.???|||
5-* Ares Black Knight      (HPist) 3|4|15(c)|SA/BF|10M|5|7/48hrs|2500|1.5|Smartlink, RC(2)|tss.16|||
5-* Ares Constrictor       (HPist) 3|6|6(cy)|DAR|10M|2.5|7/7days|400|2|Smartlink|sr2.???|||
5-* Ares Jaguar            (HPist) 3|5|6(cy)|DAR|10M|2.5|5/4days|300|1|Laser Sight|sr2.???|||
5-* Ares Predator          (HPist) 3|5|15(c)|SA|9M|2.25|3/24hrs|450|.5|None|sr3.278|||
5-* Ares Predator II       (HPist) 3|4|15(c)|SA|9M|2.5|4/24hrs|550|.5|Smartlink|cc.19|||
5-* Ares Predator III      (HPist) 3|4|15(c)|SA|9M|2.25|5/24hrs|650|1|Smartlink-2|cc.19|||
5-* Ares Stingray          (HPist) 3|4|6(cy)|DAR|10M|2.75|7/7days|500|3|Laser Sight, RC:(1)|sr2.???|||
5-* Ares Stingray Smart    (HPist) 3|4|6(cy)|DAR|10M|2.75|7/7days|500|3|Smartlink, RC:(1)|sr2.???|||
5-* Ares Viper Slivergun   (HPist) 3|6|30(c)|SA/BF|9S(f)|2|3/48hrs|600|1|Silencer, Fires Flechettes Only|sr3.278|||
5-* Armalite 44            (HPist) 3|4|8(c)|SA|9M|2.25|4/24hrs|450|1|None|sr2.???|||
5-* Beretta Model 95S      (HPist) 3|5|15(c)|SA|9M|2.5|3/24hrs|500|1|Smartlink-2|sr2.???|||
5-* Beretta Model 95S-B    (HPist) 3|5|15(c)|SA/BF|9M|2.5|6/72hrs|750|1.75|Smartlink-2|sr2.???|||
5-* Beretta 100S           (HPist) 3|5|15(c)|SA|9M|2.5|5/36hrs|650|1.5|Laser Sight, Silencer|sr2.???|||
5-* Beretta 100S Smart     (HPist) 3|5|15(c)|SA|9M|2.5|5/36hrs|1300|1.5|Smartlink, Silencer|sr2.???|||
5-* Beretta Model 110-T    (HPist) 3|5|16(c)|SA|9M|2|3/24hrs|400|1|Laser Sight|sr2.???|||
5-* Bond&Carrington MP-11  (HPist) 3|4|15(30)(c)|SA/BF|9M|3|8/36hrs|1200|2|Gas Vent (2), Laser Sight|sr2.???|||
5-* B&Carr. MP-11 Smart    (HPist) 3|4|15(30((c)|SA/BF|9M|3|8/36hrs|2000|2|Gas Vent (2), Smartlink|sr2.???|||
5-* Browning Defender 10   (HPist) 3|5|15(c)|SA/BF|9M|2|5/36hrs|900|2|None|sr2.???|||
5-* Browning Def. 10 Smart (HPist) 3|5|15(c)|SA/BF|9M|2|5/36hrs|1800|2|Smartlink|sr2.???|||
5-* Browning Max-Power     (HPist) 3|6|10(c)|SA|9M|2|3/24hrs|450|1|None|sr3.278|||
5-* Browning Ultra-Power   (HPist) 3|6|10(c)|SA|9M|2.25|4/24hrs|525|1.5|Laser Sight|cc.19|||
5-* BudgetArms Auto 3      (HPist) 3|5|8(c)|SA|9M|2.25|4/12hrs|350|.7|None|sr2.???|||
5-* Cavalier Deputy        (HPist) 3|4|7(cy)|SA|9M|2.25|3/24hrs|300|.5|None|cc.19|||
5-* Colt 1911              (HPist) 3|6|7(c)|SS|10M|3.2|4/8days|780|2.8|None|tss.3|||
5-* Colt Alpha-Omega       (HPist) 3|4|10(c)|SA|9M|2.5|5/24hrs|500|1|Gas Vent (1), Smartlink|cb1.30|||
5-* Colt AMT Model 2000    (HPist) 3|5|8(c)|SA|9M|2.5|5/24hrs|500|1|None|sr2.???|||
5-* Colt Manhunter         (HPist) 3|5|16(c)|SA|9M|2.5|4/24hrs|425|1|Laser Sight|cc.19|||
5-* Colt Manhunter S       (HPist) 3|5|16(c)|SA|9M|2.25|4/24hrs|600|1|Smartlink|sr2.???|||
5-* Colt Manhunter S+      (HPist) 3|5|16(c)|SA|9M|2.25|6/48hrs|800|1|Smartlink-2|sr2.???|||
5-* Colt Peacemaker        (HPist) 3|4|6(cy)|SS|10M|2.75|3/24hrs|350|.9|None|sr2.???|||
5-* Colt Penetrator        (HPist) 3|5|12(c)|SA|9M|2|4/24hrs|600|1.5|None|sr2.???|||
5-* DinaTech F5A           (HPist) 3|10|1|SS|10M|-|10/14days|500|3|None|sr2.???|||
5-* DinaTech F5B           (HPist) 3|10|1|SS|7S|-|12/14days|700|3|None|sr2.???|||
5-* Eichiro Hatamoto II    (HPist) 3|6|1(m)|SS|8S|2.5|12/7days|1200|2|Fires as Shotgun|cc.19|||
5-* Federated Arms 454 DA  (HPist) 3|3|5(cy)|SS|11M|3.5|5/36hrs|1375|1.25|None|cb1.35|||
5-* Fichetti Hurricane     (HPist) 3|5|14(30)(c)|SA/BF|9S(f)|2|3/48hrs|600|1|None|sr2.???|||
5-* Fichetti Military XI   (HPist) 3|4|18(c)|SA/BF|9M|2.25|5/36hrs|900|2|Laser Sight, RC:(1)|sr2.???|||
5-* Fich. Mil. XI Smart    (HPist) 3|4|18(c)|SA/BF|9M|2.25|5/36hrs|1800|2|Smartlink, RC:(1)|sr2.???|||
5-* FN 5-7C                (HPist) 3|5|20(c)|SA/BF|6L|2.5|9/48hrs|700|2|RC(1)|cc.19|||
5-* FN 5-7 [TSS version]   (HPist) 3|5|20(c)|SS|8M|2.5|2/3weeks|800|3|None|tss.2|||
5-* Glock 20               (HPist) 3|5|15(c)|SA|9M|.78|2/48 Hours|550|1||bjf.00|||
5-* Glock 22 Mk. III       (HPist) 3|4|15(c)|SA|9M|2.5|6/24hrs|600|1.5|Laser Sight|sr2.???|||
5-* Glock 22 Mk. III Smart (HPist) 3|4|15(c)|SA|9M|2.5|6/24hrs|800|1.5|Smartlink|sr2.???|||
5-* Glck22 Mk. III SmartII (HPist) 3|4|15(c)|SA|9M|2.5|6/24hrs|1000|1.5|Smartlink-2|sr2.???|||
