!0-2|Bow and crossbow|9|Concealability|Str.Min.|Damage|Weight|Availability|$Cost|Street Index|Legal|Book.Page|
2-Projectile weapons
3-Bows
4-* Arrows                         2|3|-|(As bow)|.1|3/36hrs|10|1|10-D|sr3.276|
4-* Ranger-X Arrows                2|4|-|As bow|.08|4/36hrs|18|1|10P-D|cc.13|
4-* Arasaka Arms Half-Bow    (Bow) 2|3/6/10|3|6M|1.25|6/7 days|300|1.5|4-D|cb1.4|
4-* Eagletech "Bearcat" Self (Bow) 2|2/4|5|9M|1.25|6/72hrs|500|1.75|4-D|cb1.4|
4-* Eagletech "Tigercat" Comp(Bow) 2|1|5|8M|1.5|6/72hrs|500|1.75|5-D|cb1.4|
4-* Eagletech "Tomcat" Comp. (Bow) 2|2|5|9M|1.5|6/48hrs|750|1|5-D|cb1.4|
4-* Eagletech "Wildcat" Sport(Bow) 2|4|3|5M|1|3/36hrs|350|1|5P-D|cb1.4|
4-* Standard Bow             (Bow) 2|2|1+|(STR Min.+2)M|1|3/36hrs|100xSTR Min.|1|5-D|sr3.276|
4-* Standard Bow (for STR1)  (Bow) 2|2|1+|3M|1|3/36hrs|100|1|5-D|sr3.276|
4-* Standard Bow (for STR2)  (Bow) 2|2|1+|4M|1|3/36hrs|200|1|5-D|sr3.276|
4-* Standard Bow (for STR3)  (Bow) 2|2|1+|4M|1|3/36hrs|300|1|5-D|sr3.276|
4-* Standard Bow (for STR4)  (Bow) 2|2|1+|6M|1|3/36hrs|400|1|5-D|sr3.276|
4-* Standard Bow (for STR5)  (Bow) 2|2|1+|7M|1|3/36hrs|500|1|5-D|sr3.276|
4-* Standard Bow (for STR6)  (Bow) 2|2|1+|8M|1|3/36hrs|600|1|5-D|sr3.276|
4-* Standard Bow (for STR7)  (Bow) 2|2|1+|9M|1|3/36hrs|700|1|5-D|sr3.276|
4-* Standard Bow (for STR8)  (Bow) 2|2|1+|10M|1|3/36hrs|800|1|5-D|sr3.276|
4-* Standard Bow (for STR9)  (Bow) 2|2|1+|11M|1|3/36hrs|900|1|5-D|sr3.276|
4-* Standard Bow (for STR10) (Bow) 2|2|1+|12M|1|3/36hrs|1000|1|5-D|sr3.276|
4-* Standard Bow (for STR11) (Bow) 2|2|1+|13M|1|3/36hrs|1100|1|5-D|sr3.276|
4-* Standard Bow (for STR12) (Bow) 2|2|1+|14M|1|3/36hrs|1200|1|5-D|sr3.276|
4-* Ranger-X Bow (for STR2)  (Bow) 2|2|2+|6M|1.5|5/36hrs|240|2|5P-D|cc.13|
4-* Ranger-X Bow (for STR3)  (Bow) 2|2|2+|7M|1.5|5/36hrs|360|2|5P-D|cc.13|
4-* Ranger-X Bow (for STR4)  (Bow) 2|2|2+|8M|1.5|5/36hrs|480|2|5P-D|cc.13|
4-* Ranger-X Bow (for STR5)  (Bow) 2|2|2+|9M|1.5|5/36hrs|600|2|5P-D|cc.13|
4-* Ranger-X Bow (for STR6)  (Bow) 2|2|2+|10M|1.5|5/36hrs|720|2|5P-D|cc.13|
4-* Ranger-X Bow (for STR7)  (Bow) 2|2|2+|11M|1.5|5/36hrs|840|2|5P-D|cc.13|
4-* Ranger-X Bow (for STR8)  (Bow) 2|2|2+|12M|1.5|5/36hrs|960|2|5P-D|cc.13|
4-* Ranger-X Bow (for STR9)  (Bow) 2|2|2+|13M|1.5|5/36hrs|1080|2|5P-D|cc.13|
4-* Ranger-X Bow (for STR10) (Bow) 2|2|2+|14M|1.5|5/36hrs|1200|2|5P-D|cc.13|
4-* Ranger-X Bow (for STR11) (Bow) 2|2|2+|15M|1.5|5/36hrs|1320|2|5P-D|cc.13|
4-* Ranger-X Bow (for STR12) (Bow) 2|2|2+|16M|1.5|5/36hrs|1440|2|5P-D|cc.13|
3-Arrowheads
4-* Barbed                         2|-1|-|(As bow)|(As arrow)|+1/36hrs|+2|1|10P-D|cc.13|
4-* Explosive                      2|-1|-|(See Rules)|(As arrow)|+2/1wk|+20|1|8P-D|cc.13|
4-* EX Explosive                   2|-1|-|(See Rules)|(As arrow)|+4/2wks|+60|2|6P-D|cc.13|
4-* Hammerhead                     2|-1|-|(See Rules)|(As arrow)|+1/36hrs|+10|1|10P-D|cc.13|
4-* Incendiary                     2|-1|-|(See Rules)|(As arrow)|+4/2wks|+50|2|6-D|cc.13|
4-* Screamer                       2|-1|-|(See Rules)|(As arrow)|+1/24hrs|(As arrow)|1|Legal|cc.13|
3-Crossbows
4-* Bolts                          2|4|-|(As crossbow)|.05|5/36hrs|5|1|10-D|sr3.276|
4-* 10 Bolts                       2|4|-|(As crossbow)|.5|5/36hrs|50|1|10-D|sr3.276|
4-* Pistol Bolts                   2|6|-|(As pistol crossbow)|.04|4/36hrs|3|1|10P-D|cc.13|
4-* 10 Pistol Bolts                2|6|-|(As pistol crossbow)|.4|4/36hrs|30|1|10P-D|cc.13|
4-* Eagletech "Arbelest"     (MCB) 2|2|5|7M|3|8/7 days|500|1|6-D|cb1.5|
4-* Eagletech "Handbow"      (LCB) 2|5|1|3M|.5|2/24hrs|75|1|7-D|cb1.5|
4-* Eagletech "Scorpion"     (HCB) 2|-|5|8S|5|8/7 days|1500|1|5-D|cb1.5|
